,0,1,2,3,4,5
2046,Tony Chiu-Wai Leung,Carina Lau,Chang Chen,Maggie Cheung,Siu Ping-Lam,To-Hoi Kong
As Tears Go By,Maggie Cheung,Jacky Cheung,To-Hoi Kong,,,
Ashes of Time,Leslie Cheung,Maggie Cheung,Tony Chiu-Wai Leung,Jacky Cheung,Carina Lau,Charlie Yeung
Chungking Express,Tony Chiu-Wai Leung,,,,,
Days of Being Wild,Leslie Cheung,Maggie Cheung,Carina Lau,Jacky Cheung,Tony Chiu-Wai Leung,
Eros,Chang Chen,,,,,
Fallen Angels,Charlie Yeung,To-Hoi Kong,,,,
Happy Together,Leslie Cheung,Tony Chiu-Wai Leung,Chang Chen,,,
In the Mood for Love,Maggie Cheung,Tony Chiu-Wai Leung,Siu Ping-Lam,,,
The Grandmaster,Tony Chiu-Wai Leung,Chang Chen,To-Hoi Kong,Siu Ping-Lam,Charlie Yeung,
